student_id,attendance_rate,avg_quiz_score,meals_program,at_risk,attendance_entropy
CA0001,0.8357,81.7,no,no,0.6931
CA0002,0.7375,89.6,no,no,1.0114
CA0003,0.8709,80.0,no,no,0.6931
CA0004,0.9016,76.0,yes,yes,0.4506
CA0005,0.9273,85.3,no,no,0.4506
CA0006,0.9628,96.3,yes,no,0.0
CA0007,1.0,96.3,no,no,0.0
CA0008,0.919,82.8,no,no,0.0
CA0009,0.8112,89.4,yes,no,0.4506
CA0010,0.6677,91.3,yes,no,1.0114
CA0011,0.6039,74.8,yes,yes,0.6931
CA0012,1.0,100.0,no,no,0.0
CA0013,0.7736,93.5,yes,no,0.8676
CA0014,1.0,100.0,no,no,0.4506
CA0015,0.6792,82.6,no,yes,0.6365
CA0016,0.8609,77.2,no,no,0.6365
CA0017,0.5375,62.7,yes,yes,1.0986
CA0018,0.7184,85.4,yes,no,0.6931
CA0019,0.8201,88.4,no,no,0.6365
CA0020,0.7478,81.7,no,no,1.0114
CA0021,0.9229,100.0,no,no,0.0
CA0022,0.756,83.3,yes,no,1.0986
CA0023,0.7149,75.3,yes,yes,0.8676
CA0024,1.0,80.2,no,no,0.4506
CA0025,0.9053,94.4,yes,no,0.0
CA0026,0.8473,67.8,yes,no,0.6365
CA0027,1.0,81.2,yes,no,0.4506
CA0028,0.8835,88.0,no,no,0.4506
CA0029,0.6752,81.2,no,no,0.8676
CA0030,0.7253,68.2,yes,yes,1.0114
CA0031,0.6542,59.7,yes,no,0.6931
CA0032,0.8734,87.4,no,no,0.4506
CA0033,1.0,91.5,no,no,0.0
CA0034,0.8956,89.6,no,no,0.6931
CA0035,1.0,86.8,no,no,0.0
CA0036,0.8308,100.0,yes,no,0.4506
CA0037,0.9021,96.1,yes,no,0.4506
CA0038,0.8073,85.4,no,no,0.6365
CA0039,0.7359,75.7,yes,no,1.0114
CA0040,0.8828,66.6,no,yes,0.6931
CA0041,0.7377,65.2,no,no,0.6931
CA0042,0.7614,72.2,yes,no,0.6365
CA0043,0.8404,93.9,yes,no,0.4506
CA0044,0.7529,79.8,yes,yes,0.6365
CA0045,0.9349,86.4,no,no,0.4506
CA0046,0.8166,82.4,no,no,0.6931
CA0047,,72.8,yes,yes,0.4506
CA0048,0.6903,91.7,yes,yes,0.6365
CA0049,0.7968,100.0,no,no,0.8676
CA0050,0.6795,70.9,yes,no,0.6365
CA0051,1.0,96.0,no,no,0.0
CA0052,0.8998,91.2,no,no,0.4506
CA0053,0.8044,88.1,no,yes,0.6365
CA0054,0.8832,92.0,no,no,0.6365
CA0055,0.9287,96.1,no,no,0.6365
CA0056,1.0,81.8,yes,no,0.0
CA0057,0.9951,100.0,no,no,0.0
CA0058,0.8652,100.0,no,no,0.4506
CA0059,,100.0,no,no,1.0114
CA0060,0.8421,72.9,yes,yes,0.6931
CA0061,0.8171,64.8,yes,no,0.6365
CA0062,0.9817,94.6,no,no,0.0
CA0063,,85.4,no,no,1.0114
CA0064,0.7805,80.7,no,no,0.6365
CA0065,0.9713,92.2,no,no,0.0
CA0066,0.6049,88.3,yes,no,0.6931
CA0067,0.7527,93.2,no,no,0.6365
CA0068,0.9458,100.0,no,no,0.4506
CA0069,0.9387,99.3,yes,no,0.4506
CA0070,0.9097,86.0,no,no,0.4506
CA0071,1.0,94.9,no,no,0.0
CA0072,0.5818,69.2,no,yes,0.4506
CA0073,0.6416,64.1,yes,no,0.6365
CA0074,0.5073,69.1,yes,yes,0.6365
CA0075,1.0,96.1,no,no,0.0
CA0076,0.6595,80.1,yes,yes,0.6365
CA0077,0.7943,100.0,yes,no,0.6365
CA0078,0.7382,87.2,no,no,0.8676
CA0079,1.0,87.8,no,no,0.6365
CA0080,0.6464,75.5,no,no,1.0114
CA0081,0.9843,94.4,no,no,0.4506
