student_id,attendance_rate,avg_quiz_score,meals_program,at_risk,attendance_entropy,district,achievement_score,lat,lon
CA0001,0.8357,81.7,no,no,0.6931,Bakersfield City SD,39.0,35.373,-119.019
CA0002,0.7375,89.6,no,no,1.0114,Fresno USD,50.7,36.737,-119.787
CA0003,0.8709,80.0,no,no,0.6931,Sacramento City USD,56.1,38.581,-121.494
CA0004,0.9016,76.0,yes,yes,0.4506,Bakersfield City SD,34.8,35.373,-119.019
CA0005,0.9273,85.3,no,no,0.4506,Fresno USD,50.5,36.737,-119.787
CA0006,0.9628,96.3,yes,no,0.0,San Diego USD,53.9,32.716,-117.161
CA0007,1.0,96.3,no,no,0.0,Bakersfield City SD,53.6,35.373,-119.019
CA0008,0.919,82.8,no,no,0.0,San Francisco USD,76.1,37.774,-122.419
CA0009,0.8112,89.4,yes,no,0.4506,Los Angeles USD,40.1,34.052,-118.243
CA0010,0.6677,91.3,yes,no,1.0114,San Francisco USD,50.5,37.774,-122.419
CA0011,0.6039,74.8,yes,yes,0.6931,Fresno USD,34.0,36.737,-119.787
CA0012,1.0,100.0,no,no,0.0,San Jose USD,86.3,37.338,-121.886
CA0013,0.7736,93.5,yes,no,0.8676,Fresno USD,40.6,36.737,-119.787
CA0014,1.0,100.0,no,no,0.4506,Oakland USD,51.8,37.804,-122.271
CA0015,0.6792,82.6,no,yes,0.6365,San Jose USD,69.1,37.338,-121.886
CA0016,0.8609,77.2,no,no,0.6365,Fresno USD,40.7,36.737,-119.787
CA0017,0.5375,62.7,yes,yes,1.0986,San Francisco USD,65.5,37.774,-122.419
CA0018,0.7184,85.4,yes,no,0.6931,San Francisco USD,56.2,37.774,-122.419
CA0019,0.8201,88.4,no,no,0.6365,Bakersfield City SD,50.2,35.373,-119.019
CA0020,0.7478,81.7,no,no,1.0114,San Francisco USD,73.2,37.774,-122.419
CA0021,0.9229,100.0,no,no,0.0,San Diego USD,76.6,32.716,-117.161
CA0022,0.756,83.3,yes,no,1.0986,Los Angeles USD,47.6,34.052,-118.243
CA0023,0.7149,75.3,yes,yes,0.8676,Fresno USD,45.8,36.737,-119.787
CA0024,1.0,80.2,no,no,0.4506,Bakersfield City SD,44.0,35.373,-119.019
CA0025,0.9053,94.4,yes,no,0.0,San Jose USD,66.2,37.338,-121.886
CA0026,0.8473,67.8,yes,no,0.6365,Sacramento City USD,43.5,38.581,-121.494
CA0027,1.0,81.2,yes,no,0.4506,Sacramento City USD,57.7,38.581,-121.494
CA0028,0.8835,88.0,no,no,0.4506,San Jose USD,81.8,37.338,-121.886
CA0029,0.6752,81.2,no,no,0.8676,Oakland USD,53.6,37.804,-122.271
CA0030,0.7253,68.2,yes,yes,1.0114,Los Angeles USD,46.1,34.052,-118.243
CA0031,0.6542,59.7,yes,no,0.6931,San Diego USD,71.7,32.716,-117.161
CA0032,0.8734,87.4,no,no,0.4506,Fresno USD,51.3,36.737,-119.787
CA0033,1.0,91.5,no,no,0.0,San Diego USD,68.2,32.716,-117.161
CA0034,0.8956,89.6,no,no,0.6931,Bakersfield City SD,51.1,35.373,-119.019
CA0035,1.0,86.8,no,no,0.0,San Francisco USD,56.9,37.774,-122.419
CA0036,0.8308,100.0,yes,no,0.4506,Los Angeles USD,40.5,34.052,-118.243
CA0037,0.9021,96.1,yes,no,0.4506,Oakland USD,54.3,37.804,-122.271
CA0038,0.8073,85.4,no,no,0.6365,San Diego USD,61.6,32.716,-117.161
CA0039,0.7359,75.7,yes,no,1.0114,Fresno USD,34.7,36.737,-119.787
CA0040,0.8828,66.6,no,yes,0.6931,Bakersfield City SD,50.7,35.373,-119.019
CA0041,0.7377,65.2,no,no,0.6931,Bakersfield City SD,53.7,35.373,-119.019
CA0042,0.7614,72.2,yes,no,0.6365,Fresno USD,46.0,36.737,-119.787
CA0043,0.8404,93.9,yes,no,0.4506,San Francisco USD,43.6,37.774,-122.419
CA0044,0.7529,79.8,yes,yes,0.6365,San Francisco USD,64.6,37.774,-122.419
CA0045,0.9349,86.4,no,no,0.4506,Los Angeles USD,61.1,34.052,-118.243
CA0046,0.8166,82.4,no,no,0.6931,San Jose USD,80.1,37.338,-121.886
CA0047,,72.8,yes,yes,0.4506,Bakersfield City SD,48.5,35.373,-119.019
CA0048,0.6903,91.7,yes,yes,0.6365,Oakland USD,60.5,37.804,-122.271
CA0049,0.7968,100.0,no,no,0.8676,Sacramento City USD,66.0,38.581,-121.494
CA0050,0.6795,70.9,yes,no,0.6365,San Diego USD,57.4,32.716,-117.161
CA0051,1.0,96.0,no,no,0.0,San Francisco USD,79.6,37.774,-122.419
CA0052,0.8998,91.2,no,no,0.4506,Sacramento City USD,62.0,38.581,-121.494
CA0053,0.8044,88.1,no,yes,0.6365,San Francisco USD,58.9,37.774,-122.419
CA0054,0.8832,92.0,no,no,0.6365,San Jose USD,71.0,37.338,-121.886
CA0055,0.9287,96.1,no,no,0.6365,San Francisco USD,84.8,37.774,-122.419
CA0056,1.0,81.8,yes,no,0.0,Oakland USD,43.6,37.804,-122.271
CA0057,0.9951,100.0,no,no,0.0,San Diego USD,49.3,32.716,-117.161
CA0058,0.8652,100.0,no,no,0.4506,Los Angeles USD,65.0,34.052,-118.243
CA0059,,100.0,no,no,1.0114,Sacramento City USD,56.4,38.581,-121.494
CA0060,0.8421,72.9,yes,yes,0.6931,San Francisco USD,53.0,37.774,-122.419
CA0061,0.8171,64.8,yes,no,0.6365,Sacramento City USD,52.8,38.581,-121.494
CA0062,0.9817,94.6,no,no,0.0,Los Angeles USD,63.9,34.052,-118.243
CA0063,,85.4,no,no,1.0114,San Jose USD,75.4,37.338,-121.886
CA0064,0.7805,80.7,no,no,0.6365,Fresno USD,54.8,36.737,-119.787
CA0065,0.9713,92.2,no,no,0.0,Sacramento City USD,54.2,38.581,-121.494
CA0066,0.6049,88.3,yes,no,0.6931,San Diego USD,53.7,32.716,-117.161
CA0067,0.7527,93.2,no,no,0.6365,Fresno USD,56.5,36.737,-119.787
CA0068,0.9458,100.0,no,no,0.4506,Oakland USD,60.3,37.804,-122.271
CA0069,0.9387,99.3,yes,no,0.4506,Sacramento City USD,58.3,38.581,-121.494
CA0070,0.9097,86.0,no,no,0.4506,Bakersfield City SD,59.1,35.373,-119.019
CA0071,1.0,94.9,no,no,0.0,San Jose USD,74.2,37.338,-121.886
CA0072,0.5818,69.2,no,yes,0.4506,San Jose USD,67.7,37.338,-121.886
CA0073,0.6416,64.1,yes,no,0.6365,Sacramento City USD,52.7,38.581,-121.494
CA0074,0.5073,69.1,yes,yes,0.6365,San Diego USD,53.5,32.716,-117.161
CA0075,1.0,96.1,no,no,0.0,Fresno USD,48.3,36.737,-119.787
CA0076,0.6595,80.1,yes,yes,0.6365,Sacramento City USD,49.2,38.581,-121.494
CA0077,0.7943,100.0,yes,no,0.6365,Bakersfield City SD,36.7,35.373,-119.019
CA0078,0.7382,87.2,no,no,0.8676,San Jose USD,73.2,37.338,-121.886
CA0079,1.0,87.8,no,no,0.6365,San Francisco USD,57.0,37.774,-122.419
CA0080,0.6464,75.5,no,no,1.0114,Fresno USD,54.6,36.737,-119.787
CA0081,0.9843,94.4,no,no,0.4506,San Diego USD,66.8,32.716,-117.161
CA0082,0.9128,96.8,no,no,0.4506,Sacramento City USD,54.9,38.581,-121.494
CA0083,0.65,81.2,yes,no,0.6931,San Jose USD,66.8,37.338,-121.886
CA0084,0.8877,83.1,no,yes,0.8676,San Diego USD,75.0,32.716,-117.161
CA0085,0.9022,100.0,no,no,0.0,Sacramento City USD,49.9,38.581,-121.494
CA0086,1.0,91.4,no,no,0.0,San Diego USD,55.0,32.716,-117.161
CA0087,0.8488,97.0,no,no,0.6365,San Francisco USD,80.0,37.774,-122.419
CA0088,0.6986,62.7,no,yes,0.8676,San Jose USD,79.9,37.338,-121.886
CA0089,0.7886,85.9,yes,no,0.6931,Oakland USD,42.3,37.804,-122.271
CA0090,0.7257,95.4,no,no,0.0,Fresno USD,50.0,36.737,-119.787
CA0091,0.8026,73.7,no,yes,0.4506,San Francisco USD,74.0,37.774,-122.419
CA0092,1.0,100.0,no,no,0.0,Sacramento City USD,73.2,38.581,-121.494
CA0093,0.86,92.0,yes,no,0.0,San Francisco USD,59.3,37.774,-122.419
CA0094,0.6969,100.0,no,no,0.6365,San Francisco USD,70.8,37.774,-122.419
CA0095,0.7904,93.2,no,no,0.8676,Los Angeles USD,57.7,34.052,-118.243
CA0096,0.7157,64.7,no,yes,0.0,San Jose USD,81.8,37.338,-121.886
CA0097,0.9115,86.8,no,no,0.6365,San Francisco USD,61.9,37.774,-122.419
CA0098,0.9508,98.1,no,no,0.4506,Oakland USD,66.5,37.804,-122.271
CA0099,1.0,100.0,no,no,0.4506,Bakersfield City SD,49.9,35.373,-119.019
CA0100,1.0,86.8,no,no,0.4506,Sacramento City USD,53.5,38.581,-121.494
CA0101,0.6473,100.0,no,no,0.6931,Bakersfield City SD,44.4,35.373,-119.019
CA0102,0.866,81.0,no,no,0.4506,Oakland USD,59.6,37.804,-122.271
CA0103,0.736,83.3,no,no,0.8676,Sacramento City USD,48.6,38.581,-121.494
CA0104,1.0,100.0,no,no,0.4506,Oakland USD,61.9,37.804,-122.271
CA0105,0.9567,91.2,no,no,0.0,San Diego USD,64.9,32.716,-117.161
CA0106,0.8986,78.3,no,yes,0.0,San Diego USD,72.8,32.716,-117.161
CA0107,0.83,100.0,yes,no,0.6365,Bakersfield City SD,26.6,35.373,-119.019
CA0108,0.9661,99.4,no,no,0.6365,Fresno USD,50.3,36.737,-119.787
CA0109,0.8289,92.1,no,no,0.4506,Sacramento City USD,53.6,38.581,-121.494
CA0110,0.8009,85.0,no,no,0.6931,Fresno USD,47.1,36.737,-119.787
CA0111,0.6169,97.5,yes,yes,0.8676,Fresno USD,43.8,36.737,-119.787
CA0112,1.0,99.6,yes,no,0.4506,Los Angeles USD,43.4,34.052,-118.243
CA0113,0.7644,72.5,no,yes,0.6931,Oakland USD,68.0,37.804,-122.271
CA0114,0.6935,97.5,yes,no,0.6365,Los Angeles USD,50.7,34.052,-118.243
CA0115,0.963,89.1,no,no,0.0,Sacramento City USD,56.9,38.581,-121.494
CA0116,0.9021,86.8,yes,no,0.0,San Francisco USD,60.5,37.774,-122.419
CA0117,0.8815,100.0,yes,no,0.8676,Los Angeles USD,54.8,34.052,-118.243
CA0118,0.8205,83.0,no,no,0.6931,Los Angeles USD,61.0,34.052,-118.243
CA0119,0.8157,70.8,yes,no,0.6365,Fresno USD,40.9,36.737,-119.787
CA0120,0.7905,80.6,no,no,1.0114,Los Angeles USD,55.8,34.052,-118.243
CA0121,0.7795,74.1,yes,no,0.6365,San Jose USD,61.7,37.338,-121.886
CA0122,1.0,95.0,no,no,0.0,San Diego USD,63.0,32.716,-117.161
CA0123,,95.9,no,no,0.4506,San Jose USD,65.5,37.338,-121.886
CA0124,0.5633,79.7,yes,yes,0.8676,Bakersfield City SD,40.7,35.373,-119.019
CA0125,0.9183,99.7,no,yes,0.0,Bakersfield City SD,49.0,35.373,-119.019
CA0126,0.8395,92.6,yes,no,0.6365,San Diego USD,52.6,32.716,-117.161
CA0127,0.542,80.5,no,no,1.0114,Oakland USD,49.5,37.804,-122.271
CA0128,0.7549,91.2,no,yes,0.4506,Oakland USD,71.2,37.804,-122.271
CA0129,0.7874,84.0,yes,no,1.0114,Bakersfield City SD,39.6,35.373,-119.019
CA0130,0.7869,100.0,no,no,1.0114,Sacramento City USD,60.8,38.581,-121.494
CA0131,0.5877,81.6,yes,no,1.0114,San Jose USD,71.6,37.338,-121.886
CA0132,0.6364,75.9,yes,no,0.6365,Fresno USD,39.2,36.737,-119.787
CA0133,0.7599,75.8,yes,no,0.6931,San Jose USD,79.3,37.338,-121.886
CA0134,0.8271,83.9,no,yes,0.4506,Los Angeles USD,71.1,34.052,-118.243
CA0135,0.8055,81.8,yes,no,0.6365,San Francisco USD,41.7,37.774,-122.419
CA0136,0.7766,95.7,yes,no,0.8676,San Diego USD,62.6,32.716,-117.161
CA0137,0.5715,60.5,yes,yes,0.6365,Oakland USD,53.8,37.804,-122.271
CA0138,1.0,88.2,no,no,0.0,Oakland USD,70.2,37.804,-122.271
