layer,row,col,value
W1,0,0,-0.4880487452887059
W1,0,1,0.34550026169708986
W1,0,2,-0.6184952628850142
W1,0,3,-0.5845277391321915
b1,0,0,0.04942437001653743
W1,1,0,-0.5535633054960906
W1,1,1,0.5315101633783768
W1,1,2,0.6682832009298643
W1,1,3,-0.5373259923385945
b1,1,0,-0.14871415734971571
W1,2,0,-0.5477361502395555
W1,2,1,0.08966118168746134
W1,2,2,-0.021105914312000647
W1,2,3,0.3000342059497647
b1,2,0,-0.08817523753465877
W1,3,0,0.6306217106883646
W1,3,1,0.016207561830907807
W1,3,2,-0.28627337157188415
W1,3,3,0.2595457628633402
b1,3,0,0.11915229319402579
W1,4,0,0.32748069335712526
W1,4,1,-0.6360652743767152
W1,4,2,-0.1870474395173618
W1,4,3,-0.5282865389016328
b1,4,0,-0.14780073775312233
W1,5,0,0.26446365266039784
W1,5,1,0.5229975702759081
W1,5,2,0.6185884311347182
W1,5,3,-0.09622802392005117
b1,5,0,0.06615277216338993
W1,6,0,-0.0029325665278886227
W1,6,1,-0.2504791691710139
W1,6,2,0.4427605446165569
W1,6,3,0.28859868591034965
b1,6,0,-0.0051048548370703365
W1,7,0,-0.021504145338841006
W1,7,1,-0.142810098245275
W1,7,2,0.5698944039155647
W1,7,3,0.30239891034163247
b1,7,0,0.08723150202633465
W1,8,0,-0.13485211920786797
W1,8,1,-0.3871191628662213
W1,8,2,0.39788981402696366
W1,8,3,0.20056540544130888
b1,8,0,0.09739028605549435
W1,9,0,-0.20759536460407377
W1,9,1,-0.5853198645428696
W1,9,2,-0.421526579621426
W1,9,3,0.3066003502114686
b1,9,0,-0.06064710195946318
W1,10,0,-0.5799544277404133
W1,10,1,0.2470464131934006
W1,10,2,-0.10529263134199823
W1,10,3,0.7630549114040434
b1,10,0,0.012847357930465542
W1,11,0,0.5912035951356079
W1,11,1,-0.254258040628742
W1,11,2,0.5966163950407468
W1,11,3,0.3870186447350159
b1,11,0,0.11288166533964002
W1,12,0,0.09841923496299103
W1,12,1,-0.3246041633601258
W1,12,2,-0.3077907568577687
W1,12,3,-0.5498485181100904
b1,12,0,-0.00723048226514394
W1,13,0,-0.3689944356366352
W1,13,1,0.33848124780952976
W1,13,2,-0.44034096140931417
W1,13,3,-0.3939150473737549
b1,13,0,0.0034662230196832304
W1,14,0,0.1903676103058011
W1,14,1,-0.29747729697489195
W1,14,2,-0.06165291923699927
W1,14,3,0.25466031715183396
b1,14,0,-0.13608192612377715
W1,15,0,0.4643659102526393
W1,15,1,-0.5925985061709561
W1,15,2,-0.08546844726432923
W1,15,3,0.22183783322310607
b1,15,0,0.009965759374785547
W2,0,0,-0.4915985337931008
W2,0,1,-0.18217625467962578
W2,0,2,-0.03627749797342878
W2,0,3,-0.26024875313416296
W2,0,4,-0.42664016834371044
W2,0,5,-0.4269541529143497
W2,0,6,0.29290141941044334
W2,0,7,-0.46878244176120476
W2,0,8,0.23337519872201487
W2,0,9,0.29420975230624835
W2,0,10,-0.36240959807184137
W2,0,11,0.3412609660349982
W2,0,12,0.11083158814468692
W2,0,13,0.37714897360700395
W2,0,14,0.26331506485551986
W2,0,15,-0.26161557069575697
b2,0,0,-0.0345592529179209
W2,1,0,0.2577527377763646
W2,1,1,-0.047274811485027275
W2,1,2,-0.3350343733664184
W2,1,3,0.5687423945059439
W2,1,4,-0.5512482220234153
W2,1,5,0.20707720956707015
W2,1,6,-0.2887191187887117
W2,1,7,-0.09905063502272007
W2,1,8,0.25796143602928345
W2,1,9,-0.27492324199247786
W2,1,10,0.62764515730506
W2,1,11,0.5151955111571367
W2,1,12,-0.3967328567899005
W2,1,13,0.31148332940597295
W2,1,14,-0.24620637804246015
W2,1,15,0.3086698942168251
b2,1,0,-0.35403368326383283
W2,2,0,-0.08572645639145741
W2,2,1,-0.36700199421873986
W2,2,2,0.08211099627664509
W2,2,3,0.4261990738312237
W2,2,4,-0.28857165788034767
W2,2,5,0.11530167006678052
W2,2,6,0.35057782535749665
W2,2,7,0.12902393439707807
W2,2,8,0.3320661355995086
W2,2,9,-0.3255984991754274
W2,2,10,-0.31043909152203963
W2,2,11,0.4316145945938321
W2,2,12,-0.004587928461514466
W2,2,13,0.04616500368714919
W2,2,14,-0.37811554789207147
W2,2,15,-0.48590981244199
b2,2,0,-0.01657247469706713
W2,3,0,-0.36306535612022445
W2,3,1,0.8190691819296058
W2,3,2,-0.10167878332928264
W2,3,3,-0.28014371392702037
W2,3,4,-0.23517091045609823
W2,3,5,0.29260083796903147
W2,3,6,-0.20566845046416318
W2,3,7,-0.40068644624392946
W2,3,8,0.1726420853199674
W2,3,9,0.49217154441170347
W2,3,10,0.23278576559655106
W2,3,11,-0.21617044442174657
W2,3,12,0.13751882707702898
W2,3,13,-0.37371258384677347
W2,3,14,0.24621766111372378
W2,3,15,-0.37093753432897647
b2,3,0,-0.20380940031283915
W2,4,0,-0.18362764450776903
W2,4,1,-0.257977700304014
W2,4,2,0.0038736977363871272
W2,4,3,-0.3145469903105196
