student_id,attendance_rate,avg_quiz_score,attendance_entropy,meals_program,achievement_score,at_risk,district,cluster
STU0001,0.799,82.2,0.8676,0.0,61.6,no,Pinecrest ISD,0
STU0002,0.9123,100.0,0.4506,0.0,70.7,no,Riverton USD,2
STU0003,0.7763,95.8,0.6365,1.0,70.9,no,Pinecrest ISD,1
STU0004,0.9979,100.0,0.0,0.0,67.2,no,Riverton USD,2
STU0005,0.8298,91.9,0.6931,0.0,56.0,no,Riverton USD,0
STU0006,0.8912,100.0,0.0,0.0,44.2,no,Cedarville CSD,2
STU0007,0.7332,78.1,0.4506,0.0,75.2,no,Westview USD,0
STU0008,0.7817,99.7,1.0114,1.0,60.8,no,Cedarville CSD,1
STU0009,0.8612,74.8,0.6365,0.0,50.6,no,Oakdale USD,0
STU0010,0.7478,95.2,0.6931,0.0,59.3,no,Oakdale USD,0
STU0011,0.6809,73.0,1.0114,0.0,65.8,yes,Westview USD,0
STU0012,1.0,98.0,0.4506,1.0,38.9,no,Cedarville CSD,1
STU0013,0.9832,100.0,0.0,0.0,60.6,no,Oakdale USD,2
STU0014,0.8281,70.7,0.6931,1.0,65.7,no,Westview USD,1
STU0015,1.0,93.1,0.4506,0.0,54.9,no,Riverton USD,2
STU0017,0.8242,100.0,0.0,0.0,57.5,no,Oakdale USD,2
STU0018,0.731,56.2,1.0114,1.0,51.4,yes,Pinecrest ISD,3
STU0019,0.645,78.4,0.8676,0.0,68.8,yes,Maplewood CSD,0
STU0020,0.9498,81.3,0.0,0.0,61.8,no,Riverton USD,2
STU0021,0.739,84.0,0.8676,1.0,54.2,yes,Westview USD,3
STU0022,0.9973,82.3,0.4506,1.0,63.5,no,Lakeshore ISD,1
STU0023,0.5474,68.2,0.6365,1.0,60.8,yes,Oakdale USD,3
STU0024,0.9639,100.0,0.4506,0.0,88.1,no,Highpoint ISD,2
STU0025,0.6638,70.3,1.0114,1.0,53.5,yes,Lakeshore ISD,3
STU0026,0.8773,82.7,0.0,0.0,76.9,yes,Oakdale USD,2
STU0027,0.7175,71.4,0.6365,1.0,84.7,yes,Highpoint ISD,0
STU0028,0.905,100.0,0.0,0.0,65.2,no,Maplewood CSD,2
STU0029,0.5645,74.8,0.6931,1.0,46.7,no,Pinecrest ISD,3
STU0030,0.8599,100.0,0.6365,0.0,76.2,no,Lakeshore ISD,0
STU0031,0.7267,81.2,0.8676,0.0,77.3,no,Westview USD,0
STU0032,0.7748,90.8,0.6365,0.0,71.9,no,Lakeshore ISD,0
STU0033,0.6948,81.5,0.6931,1.0,74.0,no,Lakeshore ISD,1
STU0034,0.7731,81.4,1.0114,0.0,75.1,yes,Lakeshore ISD,0
STU0035,0.8783,100.0,0.4506,0.0,63.7,no,Pinecrest ISD,2
STU0036,0.7076,59.4,1.0114,0.0,59.2,no,Riverton USD,0
STU0037,1.0,89.4,0.0,0.0,63.9,no,Westview USD,2
STU0038,1.0,99.9,0.0,0.0,67.2,no,Pinecrest ISD,2
STU0039,0.611,75.2,0.4506,1.0,53.3,no,Lakeshore ISD,3
STU0040,0.7802,78.0,0.6931,1.0,65.2,no,Pinecrest ISD,1
STU0041,0.8598,93.2,0.4506,0.0,54.0,no,Maplewood CSD,2
STU0042,0.8742,92.6,0.6365,0.0,79.1,no,Maplewood CSD,0
STU0044,0.7992,71.9,0.8676,1.0,40.6,no,Riverton USD,3
STU0045,1.0,100.0,0.0,0.0,52.8,no,Oakdale USD,2
STU0046,0.7065,68.4,0.4506,0.0,77.3,no,Pinecrest ISD,0
STU0047,0.6627,82.7,1.0114,1.0,63.0,no,Westview USD,3
STU0048,0.7802,81.6,0.4506,0.0,71.2,no,Pinecrest ISD,0
STU0049,0.9805,100.0,0.0,0.0,67.3,no,Pinecrest ISD,2
STU0050,0.8845,71.5,0.0,1.0,41.2,no,Pinecrest ISD,1
STU0051,0.6422,76.9,0.6365,0.0,74.8,yes,Maplewood CSD,0
STU0052,0.924,82.7,0.0,0.0,64.7,no,Highpoint ISD,2
STU0053,0.8273,61.9,0.0,1.0,31.2,no,Cedarville CSD,3
STU0054,0.7378,80.8,0.6365,0.0,63.0,no,Cedarville CSD,0
STU0055,0.6763,77.3,1.0986,1.0,61.1,no,Westview USD,3
STU0056,0.8345,88.9,0.6931,0.0,58.0,no,Cedarville CSD,0
STU0057,0.9551,83.4,0.0,0.0,69.9,no,Pinecrest ISD,2
STU0058,0.7542,98.5,0.8676,0.0,84.4,no,Highpoint ISD,0
STU0059,0.878,85.5,0.6931,0.0,89.8,yes,Highpoint ISD,0
STU0060,0.6632,71.8,0.4506,0.0,81.2,no,Highpoint ISD,0
STU0061,0.4332,69.3,1.0114,1.0,56.9,no,Pinecrest ISD,3
STU0062,0.8722,68.7,0.6365,0.0,66.8,yes,Pinecrest ISD,0
STU0063,0.627,57.0,1.0114,0.0,59.3,yes,Maplewood CSD,3
STU0064,0.8128,98.9,0.6365,1.0,57.8,no,Cedarville CSD,1
STU0066,0.7479,76.3,0.4506,0.0,73.8,no,Highpoint ISD,0
STU0067,0.9242,80.9,0.0,1.0,81.3,no,Highpoint ISD,1
STU0068,0.718,82.7,0.8676,1.0,43.0,no,Westview USD,3
STU0069,0.8479,83.1,0.8676,1.0,67.2,yes,Maplewood CSD,1
STU0070,0.7835,91.9,0.6931,1.0,54.1,no,Pinecrest ISD,1
STU0071,0.681,87.8,0.0,0.0,62.5,no,Pinecrest ISD,2
STU0072,0.8305,84.1,0.6365,0.0,65.2,no,Westview USD,0
STU0073,0.717,78.3,1.0986,0.0,63.8,no,Oakdale USD,0
STU0074,0.6533,67.3,1.0114,0.0,52.3,yes,Oakdale USD,3
STU0076,0.5987,69.7,0.8676,1.0,61.7,yes,Westview USD,3
STU0077,0.6269,58.4,0.6365,1.0,60.1,yes,Pinecrest ISD,3
STU0078,0.7979,83.7,0.6931,0.0,65.9,yes,Oakdale USD,0
STU0079,0.885,67.8,0.0,0.0,51.3,no,Oakdale USD,2
STU0080,0.8306,94.5,0.8676,1.0,62.6,yes,Lakeshore ISD,1
STU0081,0.8076,100.0,0.4506,0.0,65.2,no,Westview USD,2
STU0082,0.9116,100.0,0.6931,0.0,66.9,no,Pinecrest ISD,2
STU0083,0.8562,65.5,0.4506,1.0,55.1,no,Pinecrest ISD,1
STU0084,0.8804,67.9,0.6931,0.0,73.4,no,Lakeshore ISD,0
STU0085,0.7161,78.6,0.8676,0.0,62.2,no,Riverton USD,0
STU0086,0.9564,100.0,0.0,0.0,89.1,no,Highpoint ISD,2
STU0087,0.6836,71.8,1.0114,1.0,61.7,no,Westview USD,3
STU0088,0.8104,82.7,1.0114,0.0,80.1,no,Westview USD,0
